complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier,cumulative_request_count,cumulative_workload_share
GENERAL CONSTRUCTION/PLUMBING,5422,5422,957.5909828783967,82.45097222222222,2437.8186111111113,0.3675765400221321,0.44540759867207674,0.632423459977868,0.5545924013279233,0.2430837329398746,0.011436912413331956,0.0692058906647408,0.5593702020020539,0.06532802936853338,0.22219160037182292,0.23842746826275554,32,High,363401,0.7665410195347189
TRAFFIC SIGNAL CONDITION,5383,5373,241.19523543644146,2.2333333333333334,77.4,0.8090452261306532,0.8786525218686023,0.19095477386934673,0.12134747813139773,0.41278097715028794,0.011354647643114333,0.06859358809307,0.1223928838409459,0.0163956227653252,0.42583595761856813,0.12788013918070854,52,Monitor,368784,0.7778956671778332
DAMAGED TREE,5235,4418,1915.6641130979326,189.20930555555555,4691.551722222225,0.16138524219103667,0.2537347215934812,0.8386147578089633,0.7462652784065188,0.2840496657115568,0.01104246338690387,0.066269978333909,0.7526943364709885,0.1307678705888488,0.2713525698803111,0.3158592529579811,24,High,374019,0.788938130564737
NON-EMERGENCY POLICE MATTER,4743,4742,1.443298362153803,0.5322222222222222,3.2498055555555596,0.9976803036693378,0.9995782370307887,0.002319696330662168,0.00042176296921130323,0.52730339447607,0.010004661670312331,0.058545545891292745,0.00042539644740861735,1.9703016057897024e-05,0.5632680306918048,0.10511270520315734,58,Monitor,378762,0.7989427922350494
SEWER,4385,4264,187.2716228893058,4.116666666666666,121.03333333333333,0.7288930581613509,0.8076923076923077,0.27110694183864914,0.19230769230769232,0.18586088939566706,0.009249513266776213,0.052924922284673596,0.19396441861650612,0.012712446051767043,0.15352160371034432,0.10228377815149264,59,Monitor,383147,0.8081923055018256
GENERAL,4305,4068,736.2950471839835,317.75347222222223,1896.4183611111114,0.048426745329400195,0.09709931170108162,0.9515732546705998,0.9029006882989183,0.3481997677119628,0.009080765020175963,0.05166891700945144,0.9106791567865831,0.050212720904319184,0.34833558955143534,0.3535807506028621,17,Critical,387452,0.8172730705220016
NOISE - HELICOPTER,4266,3303,7446.775588185825,1334.9325,26260.783833333335,0.0326975476839237,0.03330305782621859,0.9673024523160763,0.9666969421737814,0.8912330051570558,0.00899850024995834,0.05105661443778064,0.975025013908877,0.5085626811151359,1.0,0.5620898554489134,1,Critical,391718,0.8262715707719599
ENCAMPMENT,4199,4166,50.55719895183229,1.3908333333333331,56.88930555555555,0.8655784925588094,0.8963034085453673,0.13442150744119058,0.10369659145463274,0.7313646106215765,0.00885717359343063,0.050004710019782087,0.10458993518485821,0.0033743591011966686,0.8081507062726423,0.17077610682351688,45,Moderate,395917,0.8351287443653905
HOMELESS PERSON ASSISTANCE,4079,3135,28.559262626262626,2.917777777777778,16.942055555555555,0.9451355661881977,0.969377990430622,0.054864433811802234,0.03062200956937799,0.46016180436381465,0.008604051223530255,0.04812070210694885,0.03088581747156614,0.0018718209181353956,0.4826950901791053,0.0988866186893948,61,Monitor,399996,0.8437327955889208
ELECTRIC,4012,3872,496.84428697486226,189.70027777777779,1186.768666666667,0.06043388429752066,0.16012396694214875,0.9395661157024794,0.8398760330578512,0.3424725822532403,0.008462724567002545,0.047068797688950295,0.8471115456024185,0.03385737261835053,0.34146270833877224,0.32859842364634406,21,High,404008,0.8521955201559234
ILLEGAL DUMPING,3926,3874,143.26245719325416,73.88666666666667,318.13425000000024,0.12854930304594733,0.3265358802271554,0.8714506969540526,0.6734641197728446,0.17294956698930208,0.008281320201907277,0.04571859201808648,0.6792659975442475,0.009706461722858611,0.13802743369666093,0.24242671386867537,31,High,407934,0.8604768403578307
FLOORING/STAIRS,3747,3609,572.6502182814569,266.1097222222222,1385.5527777777781,0.025214740925464118,0.08755888057633694,0.9747852590745358,0.912441119423663,0.3333333333333333,0.007903746000139216,0.042908280214776905,0.920301778504185,0.03903519041929958,0.33049519687049667,0.34848974924086185,18,High,411681,0.8683805863579699
SIDEWALK CONDITION,3666,3602,322.9307418717996,196.61291666666665,694.9090833333333,0.07357023875624653,0.14214325374791784,0.9264297612437534,0.8578567462520822,0.1303873431533006,0.007732888400456464,0.04163657487361447,0.8652471622237702,0.02197845187771903,0.08695084281621375,0.2915852666708719,27,High,415347,0.8761134747584264
CONSUMER COMPLAINT,3469,3337,394.0443233276729,41.82555555555555,761.4128888888889,0.34911597243032666,0.5573868744381181,0.6508840275696733,0.4426131255618819,0.2689535889305275,0.007317345843203348,0.03854366188337991,0.4464262273725542,0.026835765304319314,0.2532365959449396,0.190770792323554,41,Moderate,418816,0.8834308206016297
MAINTENANCE OR FACILITY,3154,2922,2219.753326393642,435.8334722222222,6857.087111111113,0.11225188227241616,0.1598220396988364,0.8877481177275839,0.8401779603011635,0.6027266962587191,0.006652899622214863,0.03359814111219267,0.8474160739419291,0.15153825774115523,0.6537793992436126,0.39435873300661906,8,Critical,421970,0.8900837202238445
APPLIANCE,3047,2906,767.388733654508,357.1179166666667,1998.4283333333333,0.017205781142463867,0.06469373709566414,0.9827942188575362,0.9353062629043358,0.25861503117820805,0.0064271988423870285,0.03191823405658304,0.9433639046656058,0.05233653154194676,0.24082985971227036,0.3407723385847157,19,High,425017,0.8965109190662316
ELEVATOR,2981,2965,829.9575066516769,513.0025,1877.4056666666665,0.12074198988195615,0.16188870151770657,0.8792580101180438,0.8381112984822934,0.4904394498490439,0.0062879815389418215,0.03088202970452476,0.8453316078794239,0.056610203813025346,0.5190296322188043,0.3535846783558365,16,Critical,427998,0.9027989006051734
BUILDING/USE,2898,2898,2839.304333352504,1447.2133333333334,7524.762777777779,0.1538992408557626,0.173567977915804,0.8461007591442374,0.826432022084196,0.17184265010351968,0.006112905233094062,0.02957892423148177,0.833551714786048,0.19385582019485254,0.13669908344100667,0.31969416447195453,23,High,430896,0.9089118058382675
OVERGROWN TREE/BRANCHES,2773,2220,5622.44548536036,715.8366666666667,20453.750444444446,0.16216216216216217,0.22252252252252253,0.8378378378378378,0.7774774774774775,0.09556437071763434,0.005849236097781172,0.027616415988947155,0.7841754279130025,0.3839543725249721,0.045161703151167756,0.32848350394770187,22,High,433669,0.9147610419360487
ILLEGAL FIREWORKS,2771,2771,7.314232226632984,0.40444444444444444,2.076111111111111,0.9978347167087694,0.9996391194514616,0.0021652832912306026,0.00036088054853843375,0.44243955250811984,0.005845017391616165,0.0275850158570666,0.00036398952609376816,0.00042070891820490257,0.46142758754575114,0.07906223232330509,62,Monitor,436440,0.9206060593276648
FOR HIRE VEHICLE COMPLAINT,2291,1788,1919.1560974397216,1618.6768055555553,3630.9050555555546,0.0050335570469798654,0.01174496644295302,0.9949664429530202,0.988255033557047,0.313836752509821,0.004832527912014664,0.020048984205733665,0.9967688277493875,0.13100638568092549,0.30709841934009446,0.3783138328340223,13,Critical,438731,0.9254385872396794
NEW TREE REQUEST,2232,2156,14641.672177643784,11010.812638888889,32761.68111111111,0.006957328385899814,0.012059369202226345,0.9930426716141002,0.9879406307977736,0.31227598566308246,0.00470807608014698,0.019122680315257323,0.9964517164176352,1.0,0.3052254286336455,0.5514122673306774,2,Critical,440963,0.9301466633198264
DRUG ACTIVITY,2153,2152,1.4062382538207352,0.43166666666666664,2.7314444444444477,0.9967472118959108,0.9981412639405205,0.0032527881040892194,0.0018587360594795538,0.8281467719461217,0.004541437186629233,0.017882375105975446,0.0018747490275201333,1.7171677344360697e-05,0.9242936709247362,0.14546874096952675,48,Moderate,443116,0.9346881005064557
GRAFFITI,2147,2033,3711.9295713778215,837.2352777777778,12231.91083333333,0.20019675356615838,0.2262666010821446,0.7998032464338416,0.7737333989178554,0.3046110852352119,0.0045287810681342135,0.01778817471033378,0.7803990942034301,0.253459263001073,0.2960272019431839,0.33544152230133806,20,High,445263,0.9392168815745899
MISSED COLLECTION (ALL MATERIALS),2038,2038,63.479195289499515,46.99166666666667,137.805,0.23503434739941118,0.5176643768400393,0.7649656526005888,0.48233562315996076,0.11334641805691854,0.0042988615821413735,0.016076867522843596,0.4864909333661102,0.0042569779346803656,0.06650096306542813,0.16240072368957859,47,Moderate,447301,0.9435157431567313
