borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BROOKLYN,11213,UNSANITARY CONDITION,266,459.6605158730159,0.6165413533834586,0.8984962406015038,0.01680161943319838,0.8984962406015038,0.0285222138877901,0.5796703296703296,0.35155710594088974,43,BROOKLYN | 11213 | UNSANITARY CONDITION
BROOKLYN,11208,UNSANITARY CONDITION,231,472.39166546416544,0.6233766233766234,0.8961038961038961,0.01325910931174089,0.8961038961038961,0.029312705929167227,0.5871628371628371,0.3511590910726129,44,BROOKLYN | 11208 | UNSANITARY CONDITION
BRONX,10468,PLUMBING,222,426.4489514514515,0.6666666666666666,0.8603603603603603,0.012348178137651822,0.8603603603603603,0.026460068818409916,0.6346153846153846,0.3509214485909892,45,BRONX | 10468 | PLUMBING
BROOKLYN,11226,PAINT/PLASTER,316,337.2462535161744,0.6550632911392406,0.8575949367088608,0.02186234817813765,0.8575949367088608,0.020921368461277616,0.6218962999026291,0.3506611386981877,46,BROOKLYN | 11226 | PAINT/PLASTER
QUEENS,11419,BUILDING/USE,163,3628.228023176551,0.5828220858895705,0.8220858895705522,0.006376518218623482,0.8220858895705522,0.22526229451891056,0.5427088249174139,0.3504031888414068,47,QUEENS | 11419 | BUILDING/USE
BROOKLYN,11212,UNSANITARY CONDITION,271,603.6877808528086,0.5830258302583026,0.9077490774907748,0.01730769230769231,0.9077490774907748,0.037465036049505115,0.5429321600908317,0.34806653372136276,48,BROOKLYN | 11212 | UNSANITARY CONDITION
QUEENS,11691,UNSANITARY CONDITION,131,546.5407506361323,0.5572519083969466,0.9465648854961832,0.003137651821862348,0.9465648854961832,0.03391670977690949,0.5146799765120377,0.3459197838717347,49,QUEENS | 11691 | UNSANITARY CONDITION
BROOKLYN,11233,UNSANITARY CONDITION,249,415.1397121820616,0.5502008032128514,0.9357429718875502,0.015080971659919028,0.9357429718875502,0.0257578648601203,0.5069508804448564,0.34522198745384447,50,BROOKLYN | 11233 | UNSANITARY CONDITION
BRONX,10469,UNSANITARY CONDITION,107,479.5270664589824,0.5420560747663551,0.9532710280373832,0.000708502024291498,0.9532710280373832,0.029755751363364186,0.4980230050323508,0.3426691215300372,51,BRONX | 10469 | UNSANITARY CONDITION
BRONX,10457,PLUMBING,258,401.5010917312661,0.6046511627906976,0.875968992248062,0.015991902834008098,0.875968992248062,0.024911026886492837,0.5666368515205724,0.3424530335327071,52,BRONX | 10457 | PLUMBING
MANHATTAN,10032,PAINT/PLASTER,148,592.8690615615615,0.6351351351351351,0.8581081081081081,0.004858299595141701,0.8581081081081081,0.03679328905317971,0.600051975051975,0.34199973523345567,53,MANHATTAN | 10032 | PAINT/PLASTER
BRONX,10454,UNSANITARY CONDITION,122,564.3027390710382,0.5819672131147541,0.9098360655737704,0.002226720647773279,0.9098360655737704,0.03501957251497571,0.5417717528373266,0.3419569910972636,54,BRONX | 10454 | UNSANITARY CONDITION
BRONX,10452,PAINT/PLASTER,245,505.5891360544218,0.5918367346938775,0.8816326530612245,0.014676113360323886,0.8816326530612245,0.03137397589599663,0.5525902668759812,0.34150275836903143,55,BRONX | 10452 | PAINT/PLASTER
MANHATTAN,10027,PLUMBING,108,625.7831121399176,0.6666666666666666,0.8333333333333334,0.0008097165991902834,0.8333333333333334,0.03883696113835907,0.6346153846153846,0.34140584106684024,56,MANHATTAN | 10027 | PLUMBING
BRONX,10456,DOOR/WINDOW,156,439.4723486467237,0.5192307692307693,0.9551282051282052,0.005668016194331984,0.9551282051282052,0.027268706857013495,0.4730029585798817,0.33974015550431247,57,BRONX | 10456 | DOOR/WINDOW
BRONX,10467,DOOR/WINDOW,195,570.9065512820513,0.5487179487179488,0.917948717948718,0.009615384615384616,0.917948717948718,0.03542961097679568,0.5053254437869823,0.3397128637372491,58,BRONX | 10467 | DOOR/WINDOW
MANHATTAN,10031,PLUMBING,155,670.3730197132617,0.5806451612903226,0.8903225806451613,0.005566801619433198,0.8903225806451613,0.0416056009073061,0.5403225806451614,0.33911272207419185,59,MANHATTAN | 10031 | PLUMBING
