borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
QUEENS,PAINT/PLASTER,937,908,391.6097861600588,149.69805555555556,957.6936666666672,0.046255506607929514,0.17070484581497797,0.9537444933920705,0.829295154185022,0.400213447171825,0.0021281234811285185,0.018002177007452064,0.834280896594952,0.021439779370884014,0.3923626281647299,0.3197273810299801,58,High
BROOKLYN,ELECTRIC,1241,1203,452.63914449986146,175.42277777777778,1039.9392777777778,0.058187863674147966,0.142975893599335,0.941812136325852,0.857024106400665,0.31103948428686545,0.0028185712274071415,0.03072929749644143,0.8621765559381439,0.02478665991229722,0.29568045934315346,0.31871762178913016,59,High
BROOKLYN,ELEVATOR,746,744,769.1527889784946,491.40236111111113,1779.2294444444447,0.15053763440860216,0.1868279569892473,0.8494623655913979,0.8131720430107527,0.4128686327077748,0.0016943224300126733,0.010005861173909404,0.8180608528885729,0.04214442651208841,0.4060833460163466,0.31826169448230984,60,High
QUEENS,DAMAGED TREE,2169,1756,1940.7811109529234,197.42236111111112,5283.835,0.14578587699316628,0.24829157175398633,0.8542141230068337,0.7517084282460137,0.3024435223605348,0.0049262538213103065,0.06958050741019844,0.7562277173937854,0.10639710979857471,0.2863607407250912,0.3154550258801837,61,High
QUEENS,WATER LEAK,624,599,567.2188406603598,269.37194444444447,1450.2116666666668,0.025041736227045076,0.09515859766277128,0.9749582637729549,0.9048414023372288,0.22756410256410256,0.0014172348476245418,0.0048982667671439335,0.9102813306077933,0.031070267768460846,0.20517667676956414,0.3117893476199651,62,High
BRONX,SAFETY,562,538,426.39844485749694,193.33722222222224,1038.1005833333338,0.04460966542750929,0.1171003717472119,0.9553903345724907,0.8828996282527881,0.2775800711743772,0.00127641984673877,0.002302604035836892,0.8882076420498991,0.023347606816947534,0.2594038543504412,0.3108483035434684,63,High
BROOKLYN,SAFETY,507,481,437.0694184569184,183.38833333333332,965.5247222222222,0.029106029106029108,0.11226611226611227,0.9708939708939709,0.8877338877338877,0.26429980276134124,0.0011515033136949402,0.0,0.8930709652152538,0.02393280834731567,0.245005423338001,0.3094586647347394,64,High
MANHATTAN,REQUEST LARGE BULKY ITEM COLLECTION,1800,1796,92.86788233110616,59.225,180.10833333333332,0.005567928730512249,0.3374164810690423,0.9944320712694877,0.6625835189309577,0.5622222222222222,0.004088177445070794,0.054132127606129114,0.6665669869806428,0.005056623918670068,0.5680121028909578,0.3051294809737157,65,High
QUEENS,DEAD/DYING TREE,677,476,4094.0567139355744,1064.071388888889,13480.68125,0.10084033613445378,0.15546218487394958,0.8991596638655462,0.8445378151260504,0.05465288035450517,0.0015376089612849596,0.007117139747132212,0.8496151967801149,0.22448382104656525,0.01770679838835962,0.30492834191309776,66,High
BROOKLYN,NOISE - RESIDENTIAL,13966,13959,2.022185706553319,0.7072222222222222,3.246333333333335,0.9979941256537002,0.9994268930439143,0.002005874346299878,0.0005731069560856795,0.6985536302448804,0.031719714554365945,0.5634681403332497,0.0005765524888877978,7.460047003837175e-05,0.7158222458935067,0.30477507184133734,67,High
BROOKLYN,SIDEWALK CONDITION,1370,1343,297.5978315545628,192.88444444444445,670.8411111111111,0.06999255398361877,0.13924050632911392,0.9300074460163812,0.8607594936708861,0.1416058394160584,0.0031115572776372153,0.036129950598677046,0.8659344004464625,0.016284116750650515,0.11198096088543351,0.29247977032642086,68,High
QUEENS,SIDEWALK CONDITION,1108,1093,336.631587628342,218.85666666666665,718.9917777777778,0.056724611161939616,0.12168344007319305,0.9432753888380604,0.8783165599268069,0.12184115523465704,0.002516500338410244,0.025161182282508583,0.883597020206928,0.018424747460451023,0.09055214387528711,0.29115329093433967,69,High
