borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
BRONX,FLOORING/STAIRS,1322,1274,552.7697015088087,259.14750000000004,1395.3633611111113,0.029827315541601257,0.08163265306122448,0.9701726844583988,0.9183673469387755,0.3600605143721634,0.0030025392124353274,0.03412040525831031,0.9238885935135578,0.030277869749179058,0.3488289272723917,0.34748863293517046,38,Critical
MANHATTAN,MAINTENANCE OR FACILITY,782,743,1291.4670573500823,272.2658333333333,4711.390500000005,0.15612382234185734,0.23149394347240915,0.8438761776581427,0.7685060565275909,0.6355498721227621,0.0017760859789140893,0.01151302017918446,0.7731263334205423,0.07078840227834245,0.6475137421319924,0.3472521988643446,39,Critical
BRONX,GENERAL,1408,1327,650.4323319099053,337.4372222222222,1713.9316111111116,0.05727204220045215,0.0987189148455162,0.9427279577995479,0.9012810851544838,0.3728693181818182,0.003197863245922043,0.03772084065980072,0.9066996087125268,0.03563373725630115,0.3627161976399214,0.3467463539419367,40,Critical
BROOKLYN,REQUEST LARGE BULKY ITEM COLLECTION,5775,5750,84.00591594202899,60.141666666666666,168.78833333333336,0.0038260869565217392,0.34243478260869564,0.9961739130434782,0.6575652173913044,0.4675324675324675,0.01311623596960213,0.22054760110524993,0.6615185152914524,0.0045706292486766865,0.46534972754717235,0.34636379995608435,41,Critical
MANHATTAN,WATER LEAK,1147,1103,745.4882036365467,305.07722222222225,1974.8357222222257,0.022665457842248413,0.0743427017225748,0.9773345421577516,0.9256572982774252,0.3269398430688753,0.002605077516386778,0.02679393787155656,0.9312223722149647,0.040846648813679894,0.312919585230932,0.34385185746690994,42,Critical
MANHATTAN,FLOORING/STAIRS,822,783,742.5489658720022,311.96194444444444,1869.3234444444474,0.02681992337164751,0.09067688378033206,0.9731800766283525,0.909323116219668,0.3722627737226277,0.0018669343665823292,0.013187641296156745,0.9147899886618704,0.040685459544312706,0.3620585837815254,0.3414985505283073,43,Critical
MANHATTAN,APPLIANCE,535,500,956.4703588888889,425.31097222222223,2367.0773888888893,0.01,0.058,0.99,0.942,0.3177570093457944,0.001215097185062708,0.0011722347818805994,0.9476633266533065,0.05241701575196298,0.30296358180176153,0.34063722059030693,44,Critical
BRONX,APPLIANCE,1115,1063,695.9022514894951,378.5961111111111,1674.2309444444447,0.021636876763875823,0.05644402634054563,0.9783631232361242,0.9435559736594544,0.27533632286995513,0.002532398806252186,0.025454240977978732,0.9492286548638199,0.038127330392463965,0.25697118852127854,0.3398487251581231,45,Critical
QUEENS,BUILDING/USE,1379,1379,3525.443824429941,2224.9475,8456.953111111112,0.1312545322697607,0.1457577955039884,0.8687454677302393,0.8542422044960116,0.20522117476432197,0.003131998164862569,0.03650674034999581,0.8593779291723403,0.19330080573634242,0.18095253501763328,0.3363937792741141,46,Critical
BROOKLYN,FLOORING/STAIRS,1139,1099,513.6802749974725,261.7269444444444,1201.9270555555556,0.01637852593266606,0.08007279344858963,0.9836214740673339,0.9199272065514104,0.305531167690957,0.00258690783885313,0.026459013648162104,0.9254578310396954,0.028134186044733677,0.28970835742215495,0.3359810949110353,47,High
